"FIPS","pop_mean_2010"
1001,54601.5
1003,182730
1005,27434
1007,22891
1009,57330
1011,10902
1013,20949
1015,118541
1017,34186
1019,25990
1021,43662.5
1023,13839.5
1025,25798
1027,13914.5
1029,14980
1031,50026
1033,54430.5
1035,13215
1037,11547.5
1039,37770.5
1041,13881.5
1043,80432.5
1045,50304.5
1047,43805
1049,71130
1051,79426
1053,38305.5
1055,104446
1057,17230
1059,31716.5
1061,26802.5
1063,9016
1065,15734
1067,17304.5
1069,101717.5
1071,53177.5
1073,658510.5
1075,14536
1077,92694
1079,34340.5
1081,140513.5
1083,82987.5
1085,11279
1087,21496
1089,335399.5
1091,21001
1093,30773
1095,93127
1097,413134.5
1099,23031
1101,229603.5
1103,119558
1105,10573.5
1107,19725.5
1109,32928
1111,22914.5
1113,53067.5
1115,83677
1117,195456.5
1119,13753.5
1121,82200.5
1123,41566
1125,194846
1127,66985
1129,17589
1131,11642.5
1133,24439.5
2013,3148
2016,5559.5
2020,292526.5
2050,17051.5
2060,999
2068,1830.5
2070,4862
2090,97947.5
2100,2510
2105,2150.5
2110,31345.5
2122,55505
2130,13503
2150,13612.5
2164,1632
2170,89366
2180,9522
2185,9455
2188,7533
2195,3821.5
2198,5575.5
2220,8886.5
2230,966.5
2240,7041.5
2261,9658
2270,7461.5
2275,2372
2282,661
2290,5605
4001,71597
4003,131567.5
4005,134536
4007,53583
4009,37165
4011,8395
4012,20473.5
4013,NA
4015,200183.5
4017,107500
4019,981208.5
4021,379806
4023,47441
4025,211047
4027,196130
5001,18998.5
5003,21842.5
5005,41508
5007,222116.5
5009,36910.5
5011,11502
5013,5355
5015,27504
5017,11791
5019,22987
5021,16080
5023,25980.5
5025,8692
5027,24531.5
5029,21269.5
5031,96607
5033,61987
5035,50919.5
5037,17860.5
5039,8101
5041,12993.5
5043,18512
5045,113608.5
5047,18120.5
5049,12237
5051,96084.5
5053,17871
5055,42141
5057,22614.5
5059,32933
5061,13804.5
5063,36692.5
5065,13689.5
5067,17985.5
5069,77396.5
5071,25562.5
5073,7641
5075,17419.5
5077,10418
5079,14119
5081,13157
5083,22339
5085,68495
5087,15726
5089,16638.5
5091,43495.5
