"FIPS","PopMean_2010","UrbanRuralStatus_2013","Hispanic_Race_2014","White_Race_2014","Black_Race_2014","Native_Race_2014","Asian_Race_2014","Islander_Race_2014","Others_Race_2014","More_Race_2014","Male_Sex_Sub125","Female_Sex_Sub125","Sub18_Age_Sub125","From18To64_Age_Sub125","Over65and65_Age_Sub125","LessThanHighSchool_Edu_Sub125","HighSchoolGraduate_Edu_Sub125","CollegeDegree_Edu_Sub125","BachelorOrHigher_Edu_Sub125","Yes_Disability_Sub125","No_Disability_Sub125","Fulltime_Work_Sub125","Parttime_Work_Sub125","No_Work_Sub125"
1001,54601.5,2,385.03,5137.587,3591.33,127.908,91,0,0,106.8,4164.111,5243.154,3305.718,5243.329,848.184,1657.71,1782.068,1252.718,396,2775.68,6503.926,652.572,1734.047,3387.958
1003,182730,2,2437.572,23284.84,6850.431,227.01,443.368,NA,299.105,1177.42,15650.775,18645.312,11483.8,19353.096,3493.14,4480.656,6271.32,5631.795,2664.41,6595.312,27823.236,2972.505,7485.66,9612.722
1005,27434,6,558.45,1950.084,4748.828,0,27.948,NA,399.162,176.82,3078.238,4313.236,2656.656,3739.58,1001.5,1633.943,1531.256,907.335,89.64,1730.022,5655.748,530.702,989.28,2409.82
1007,22891,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,57330,1,2235.04,9623.153,408.952,30.135,20,NA,265.848,385.71,5983.327,6635.706,4334.085,6683.882,1632.264,3105.873,2351.712,1625.42,198.954,2957.616,9653.892,946.891,1726.466,4357.308
1011,10902,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,20949,6,41.94,2529.774,4338.95,22,0,NA,0,81.016,2939.572,4065.768,2489.48,3652.256,872.236,1470.116,1491.24,794.046,176.528,1797.51,5213.888,767.832,843.488,2301.728
1015,118541,2,1611.939,18819.808,10356.06,50.048,52.722,7.004,470.304,843.076,13192.32,18471.336,10107.567,18545.355,2992.284,6156.228,5612.91,4333.86,741.44,7626.93,24019.58,2841.657,6783,9704.472
1017,34186,5,94.01,3906.074,6174.4,18.971,47.936,0,10.013,65.988,4377.282,5937.603,3500.64,5522.032,1277.208,2251.544,2220.581,1240.612,110.428,2405.659,7894.592,828.266,1369.38,3724.402
1019,25990,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1021,43662.5,1,1888.326,7582.414,1997.146,9.968,19.032,NA,927.764,28.012,5341,6183.132,4439.024,5851.638,1234.796,2484.79,2419.416,1150.46,222.208,2657.792,8891.048,1034.758,1300.104,3887.907
1023,13839.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1025,25798,11,52.02,2610.27,5252.816,NA,0,0,35,90.942,3378.39,4630.208,2379.156,4724.516,904.456,1498.2,2265.531,745.92,240.435,1420.896,6595.536,615.465,721.06,3673.656
1027,13914.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,14980,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1031,50026,5,1449,6519.258,3537.116,105.02,15.202,NA,87.882,589.435,5423.754,6678.672,4130.063,6653.22,1325.34,2333.25,2380.06,1466.751,446.152,2773.8,9262.33,1007.68,2177.402,3858.792
1033,54430.5,2,778.51,8966.16,3032.48,77.964,6.08,0,663.936,339.918,5877.45,7326.128,4294.653,7429.029,1488.36,2248.686,2590.8,2152.32,340.272,3682.998,9540.791,998.66,2259.802,4626.264
1035,13215,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1037,11547.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1039,37770.5,6,62.79,7269.833,2369.46,69.972,41.004,0,0,239.117,4348.498,5701.848,3275.54,5541.732,1233.936,2060.539,1826.55,1536.018,327.832,2700.53,7353.5,887.4,1776.588,3400.32
1041,13881.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1043,80432.5,3,2241.393,16560.9,514.15,118.944,100.98,6.003,165.9,549.24,9458.186,10441.827,5903.208,11327.705,2654,3690.258,4216.212,3382.355,610.426,4586.907,15295.064,1759.488,3530.07,6640.961
1045,50304.5,5,885.416,6055.878,3722.711,82.944,111.916,5,329.022,649.933,4933.344,6638.296,3615.699,6806.028,1143.74,2206.853,2370.42,1797.9,287.924,3060.624,8381.646,1138.368,2517.508,3653.616
1047,43805,5,70.98,2361.212,15478.05,42,11.985,20,34.02,242.853,7462.752,10758.852,6970.15,9722.601,1534.128,3016.364,3568.708,2192.762,598.2,4337.658,13892.598,1270.962,2178.54,6777.99
