GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Women who had a birth in the past 12 months:,Margin of Error; Women who had a birth in the past 12 months:,Estimate; Women who had a birth in the past 12 months: - Now married (including separated and spouse absent):,Margin of Error; Women who had a birth in the past 12 months: - Now married (including separated and spouse absent):,Estimate; Women who had a birth in the past 12 months: - Now married (including separated and spouse absent): - 15 to 19 years old,Margin of Error; Women who had a birth in the past 12 months: - Now married (including separated and spouse absent): - 15 to 19 years old,Estimate; Women who had a birth in the past 12 months: - Now married (including separated and spouse absent): - 20 to 34 years old,Margin of Error; Women who had a birth in the past 12 months: - Now married (including separated and spouse absent): - 20 to 34 years old,Estimate; Women who had a birth in the past 12 months: - Now married (including separated and spouse absent): - 35 to 50 years old,Margin of Error; Women who had a birth in the past 12 months: - Now married (including separated and spouse absent): - 35 to 50 years old,"Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced):","Margin of Error; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced):","Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 15 to 19 years old","Margin of Error; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 15 to 19 years old","Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 20 to 34 years old","Margin of Error; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 20 to 34 years old","Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 35 to 50 years old","Margin of Error; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 35 to 50 years old",Estimate; Women who did not have a birth in the past 12 months:,Margin of Error; Women who did not have a birth in the past 12 months:,Estimate; Women who did not have a birth in the past 12 months: - Now married (including separated and spouse absent):,Margin of Error; Women who did not have a birth in the past 12 months: - Now married (including separated and spouse absent):,Estimate; Women who did not have a birth in the past 12 months: - Now married (including separated and spouse absent): - 15 to 19 years old,Margin of Error; Women who did not have a birth in the past 12 months: - Now married (including separated and spouse absent): - 15 to 19 years old,Estimate; Women who did not have a birth in the past 12 months: - Now married (including separated and spouse absent): - 20 to 34 years old,Margin of Error; Women who did not have a birth in the past 12 months: - Now married (including separated and spouse absent): - 20 to 34 years old,Estimate; Women who did not have a birth in the past 12 months: - Now married (including separated and spouse absent): - 35 to 50 years old,Margin of Error; Women who did not have a birth in the past 12 months: - Now married (including separated and spouse absent): - 35 to 50 years old,"Estimate; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed, and divorced):","Margin of Error; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed, and divorced):","Estimate; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 15 to 19 years old","Margin of Error; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 15 to 19 years old","Estimate; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 20 to 34 years old","Margin of Error; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 20 to 34 years old","Estimate; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 35 to 50 years old","Margin of Error; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 35 to 50 years old"
0500000US01001,1001,"Autauga County, Alabama",13695,207,730,223,374,164,0,27,359,166,15,21,356,155,29,35,268,133,59,53,12965,302,6778,480,7,11,2028,321,4743,307,6187,479,1914,93,2415,311,1858,328
0500000US01003,1003,"Baldwin County, Alabama",42589,316,2410,389,1522,302,0,27,1047,270,475,183,888,297,117,69,689,275,82,79,40179,489,20040,968,38,53,6423,547,13579,717,20139,1067,5602,234,7846,587,6691,727
0500000US01005,1005,"Barbour County, Alabama",5322,102,335,102,166,64,0,21,146,62,20,23,169,73,35,33,130,69,4,6,4987,152,1845,194,0,21,533,136,1312,156,3142,195,688,71,1375,142,1079,145
0500000US01007,1007,"Bibb County, Alabama",4888,164,217,125,202,125,0,21,125,99,77,71,15,19,0,21,15,19,0,21,4671,204,2432,323,0,21,851,216,1581,246,2239,322,518,110,1020,205,701,245
0500000US01009,1009,"Blount County, Alabama",12811,127,1010,222,699,189,14,24,575,177,110,78,311,132,42,40,253,119,16,24,11801,270,6818,486,143,116,2203,293,4472,293,4983,479,1622,110,1846,300,1515,274
0500000US01011,1011,"Bullock County, Alabama",2234,118,167,96,0,18,0,18,0,18,0,18,167,96,34,44,133,85,0,18,2067,149,610,144,0,18,245,98,365,111,1457,174,350,87,580,136,527,107
0500000US01015,1015,"Calhoun County, Alabama",27939,191,1159,248,682,179,0,27,547,158,135,89,477,136,93,76,362,133,22,26,26780,296,11996,575,45,40,4161,386,7790,428,14784,658,3712,126,6944,421,4128,430
0500000US01017,1017,"Chambers County, Alabama",7650,83,279,118,127,63,8,14,97,58,22,25,152,96,53,69,99,74,0,24,7371,131,2984,263,39,46,832,158,2113,198,4387,266,939,76,2012,164,1436,178
0500000US01019,1019,"Cherokee County, Alabama",5474,136,317,137,252,132,0,21,249,132,3,5,65,53,46,39,19,31,0,21,5157,139,3309,272,85,114,1059,177,2165,195,1848,296,595,138,684,160,569,173
0500000US01021,1021,"Chilton County, Alabama",10171,209,644,187,390,142,0,24,314,121,76,59,254,130,12,18,237,127,5,9,9527,246,5167,395,6,8,1898,224,3263,292,4360,463,1264,80,1821,277,1275,297
0500000US01023,1023,"Choctaw County, Alabama",2935,44,169,78,50,39,0,18,31,27,19,28,119,66,1,4,107,66,11,19,2766,88,1251,154,0,18,368,99,883,113,1515,156,426,66,567,107,522,112
0500000US01025,1025,"Clarke County, Alabama",6046,103,175,79,134,77,0,21,72,48,62,61,41,24,0,21,38,24,3,5,5871,137,2331,299,12,19,637,155,1682,215,3540,275,930,19,1452,151,1158,192
0500000US01027,1027,"Clay County, Alabama",2989,84,166,93,44,47,0,18,44,47,0,18,122,82,38,37,84,76,0,18,2823,114,1586,161,10,16,495,103,1081,131,1237,154,337,44,511,106,389,105
0500000US01029,1029,"Cleburne County, Alabama",3252,96,177,91,143,89,0,18,135,87,8,13,34,32,0,18,13,9,21,30,3075,136,1567,199,0,18,518,118,1049,134,1508,195,434,18,563,129,511,142
0500000US01031,1031,"Coffee County, Alabama",11964,126,654,200,228,89,0,27,192,83,36,23,426,152,13,15,399,154,14,17,11310,228,5409,324,33,28,1797,206,3579,273,5901,331,1649,68,2197,243,2055,260
0500000US01033,1033,"Colbert County, Alabama",12412,206,631,186,316,117,11,19,305,114,0,27,315,145,106,89,209,101,0,27,11781,325,5641,400,0,27,2053,233,3588,310,6140,415,1660,202,2221,254,2259,264
0500000US01037,1037,"Coosa County, Alabama",2287,106,74,60,69,59,0,18,52,52,17,26,5,10,4,10,1,4,0,18,2213,123,1033,130,0,18,213,94,820,95,1180,147,281,114,574,141,325,91
0500000US01041,1041,"Crenshaw County, Alabama",3179,74,221,76,86,40,0,18,64,36,22,22,135,74,27,28,108,69,0,18,2958,105,1326,144,0,18,315,84,1011,111,1632,156,379,52,677,103,576,119
0500000US01043,1043,"Cullman County, Alabama",18117,227,857,225,572,164,0,27,448,127,124,88,285,121,54,56,216,99,15,27,17260,342,9985,443,36,36,3422,317,6527,344,7275,423,2303,127,3003,323,1969,304
0500000US01045,1045,"Dale County, Alabama",11832,189,636,144,442,136,19,25,393,127,30,30,194,83,43,32,143,74,8,13,11196,231,5688,366,20,23,2138,237,3530,247,5508,343,1554,174,2309,256,1645,230
0500000US01047,1047,"Dallas County, Alabama",10361,127,855,206,158,76,9,17,119,71,30,28,697,203,68,61,620,195,9,13,9506,254,2601,291,0,24,647,161,1954,225,6905,369,1536,109,2794,260,2575,248
0500000US01049,1049,"DeKalb County, Alabama",16423,217,968,288,758,288,5,10,629,256,124,79,210,141,30,37,178,134,2,4,15455,348,8541,472,4,8,2867,304,5670,350,6914,456,2317,223,2730,326,1867,280
0500000US01051,1051,"Elmore County, Alabama",20554,215,975,227,593,176,0,27,508,161,85,67,382,148,19,22,335,140,28,35,19579,297,10282,540,81,63,3588,353,6613,404,9297,470,2462,113,3979,339,2856,382
0500000US01055,1055,"Etowah County, Alabama",24248,224,1153,209,635,136,22,29,546,137,67,46,518,159,120,73,379,141,19,18,23095,309,11366,471,108,78,3732,353,7526,339,11729,463,2957,132,4802,337,3970,325
0500000US01057,1057,"Fayette County, Alabama",3680,118,174,80,137,74,0,18,86,56,51,55,37,36,18,28,19,23,0,18,3506,117,1609,209,18,27,484,148,1107,132,1897,220,471,87,788,167,638,139
0500000US01059,1059,"Franklin County, Alabama",7215,183,245,141,158,96,32,42,126,90,0,24,87,97,0,24,87,97,0,24,6970,229,3488,353,20,22,1283,238,2185,224,3482,374,775,86,1326,237,1381,250
0500000US01061,1061,"Geneva County, Alabama",5883,85,423,109,281,104,10,15,243,98,28,26,142,54,23,18,110,51,9,15,5460,141,2745,198,1,2,863,136,1881,158,2715,245,733,57,1097,152,885,155
0500000US01063,1063,"Greene County, Alabama",1928,58,69,54,37,31,0,16,26,27,11,17,32,38,0,16,16,25,16,26,1859,82,532,143,0,16,146,91,386,109,1327,146,438,128,475,112,414,101
0500000US01065,1065,"Hale County, Alabama",3606,66,268,96,171,76,0,18,137,68,34,29,97,67,5,7,64,55,28,36,3338,121,1120,155,2,4,214,77,904,128,2218,166,573,27,981,109,664,123
0500000US01067,1067,"Henry County, Alabama",3777,82,311,141,214,111,0,18,161,99,53,47,97,56,30,32,58,45,9,16,3466,166,1777,207,12,14,514,132,1251,170,1689,217,532,76,576,146,581,143
0500000US01069,1069,"Houston County, Alabama",24688,100,1437,144,801,110,16,10,646,99,139,40,636,103,71,26,502,95,63,35,23251,190,10070,292,30,18,3386,192,6654,220,13181,303,3070,51,5576,212,4535,213
0500000US01071,1071,"Jackson County, Alabama",11483,148,480,150,324,120,0,27,298,112,26,27,156,87,49,36,69,47,38,59,11003,220,6101,375,47,53,1970,239,4084,250,4902,389,1428,87,2036,242,1438,262
0500000US01073,1073,"Jefferson County, Alabama",164640,460,9573,800,5173,581,32,35,3853,511,1288,253,4400,502,515,161,3502,454,383,170,155067,944,61249,1303,89,53,21056,799,40104,1007,93818,1434,20260,192,44492,963,29066,1053
0500000US01075,1075,"Lamar County, Alabama",3077,84,155,83,139,85,27,28,112,83,0,18,16,16,0,18,16,16,0,18,2922,118,1654,176,0,18,570,88,1084,146,1268,195,345,62,487,132,436,152
0500000US01077,1077,"Lauderdale County, Alabama",22037,182,1065,230,773,224,0,27,693,212,80,47,292,122,0,27,279,120,13,17,20972,303,9133,544,28,28,2678,318,6427,369,11839,595,3100,115,5636,384,3103,376
0500000US01079,1079,"Lawrence County, Alabama",7753,162,416,116,305,118,0,24,170,77,135,106,111,58,4,8,107,57,0,24,7337,182,4030,249,0,24,1398,142,2632,207,3307,255,977,81,1274,173,1056,184
0500000US01081,1081,"Lee County, Alabama",42422,243,1805,324,1252,275,30,33,1012,257,210,102,553,178,103,74,443,156,7,11,40617,416,15167,775,96,72,5535,512,9536,487,25450,787,6423,177,14238,534,4789,463
0500000US01083,1083,"Limestone County, Alabama",20483,252,1044,264,668,194,2,3,595,184,71,46,376,145,107,96,261,114,8,13,19439,403,10313,628,0,27,3604,357,6709,436,9126,592,2762,214,3415,349,2949,390
0500000US01085,1085,"Lowndes County, Alabama",2556,45,115,59,51,47,0,18,9,14,42,51,64,33,7,12,49,28,8,11,2441,76,808,124,27,35,206,67,575,82,1633,126,326,42,744,78,563,89
0500000US01087,1087,"Macon County, Alabama",5576,69,157,64,41,29,1,3,13,16,27,27,116,57,7,11,109,55,0,18,5419,91,1338,153,12,17,358,98,968,116,4081,158,1100,56,2095,109,886,112
0500000US01089,1089,"Madison County, Alabama",86461,329,4195,462,2907,346,69,56,2310,289,528,166,1288,334,204,142,1072,276,12,16,82266,553,38025,1107,49,64,11755,643,26221,846,44241,1189,11289,230,20243,714,12709,840
0500000US01091,1091,"Marengo County, Alabama",4677,86,317,108,67,45,0,21,67,45,0,21,250,98,0,21,242,97,8,12,4360,136,1924,178,0,21,570,114,1354,135,2436,201,699,129,898,145,839,121
