FIPS,County,ESTAB
01001,"Autauga County, Alabama",95
01003,"Baldwin County, Alabama",444
01005,"Barbour County, Alabama",45
01007,"Bibb County, Alabama",29
01009,"Blount County, Alabama",48
01011,"Bullock County, Alabama",14
01013,"Butler County, Alabama",40
01015,"Calhoun County, Alabama",273
01017,"Chambers County, Alabama",59
01019,"Cherokee County, Alabama",41
01021,"Chilton County, Alabama",56
01023,"Choctaw County, Alabama",28
01025,"Clarke County, Alabama",53
01027,"Clay County, Alabama",21
01029,"Cleburne County, Alabama",10
01031,"Coffee County, Alabama",101
01033,"Colbert County, Alabama",128
01035,"Conecuh County, Alabama",16
01037,"Coosa County, Alabama",5
01039,"Covington County, Alabama",93
01041,"Crenshaw County, Alabama",14
01043,"Cullman County, Alabama",182
01045,"Dale County, Alabama",60
01047,"Dallas County, Alabama",102
01049,"DeKalb County, Alabama",123
01051,"Elmore County, Alabama",109
01053,"Escambia County, Alabama",67
01055,"Etowah County, Alabama",316
01057,"Fayette County, Alabama",50
01059,"Franklin County, Alabama",63
01061,"Geneva County, Alabama",33
01063,"Greene County, Alabama",13
01065,"Hale County, Alabama",17
01067,"Henry County, Alabama",28
01069,"Houston County, Alabama",314
01071,"Jackson County, Alabama",116
01073,"Jefferson County, Alabama",1688
01075,"Lamar County, Alabama",22
01077,"Lauderdale County, Alabama",254
01079,"Lawrence County, Alabama",36
01081,"Lee County, Alabama",235
01083,"Limestone County, Alabama",121
01085,"Lowndes County, Alabama",5
01087,"Macon County, Alabama",24
01089,"Madison County, Alabama",932
01091,"Marengo County, Alabama",61
01093,"Marion County, Alabama",79
01095,"Marshall County, Alabama",191
01097,"Mobile County, Alabama",734
01099,"Monroe County, Alabama",30
01101,"Montgomery County, Alabama",666
01103,"Morgan County, Alabama",340
01105,"Perry County, Alabama",8
01107,"Pickens County, Alabama",25
01109,"Pike County, Alabama",63
01111,"Randolph County, Alabama",35
01113,"Russell County, Alabama",65
01115,"St. Clair County, Alabama",93
01117,"Shelby County, Alabama",439
01119,"Sumter County, Alabama",24
01121,"Talladega County, Alabama",160
01123,"Tallapoosa County, Alabama",88
01125,"Tuscaloosa County, Alabama",437
01127,"Walker County, Alabama",171
01129,"Washington County, Alabama",19
01131,"Wilcox County, Alabama",18
01133,"Winston County, Alabama",36
02013,"Aleutians East Borough, Alaska",10
02016,"Aleutians West Census Area, Alaska",14
02020,"Anchorage Municipality, Alaska",1165
02050,"Bethel Census Area, Alaska",47
02060,"Bristol Bay Borough, Alaska",2
02068,"Denali Borough, Alaska",3
02070,"Dillingham Census Area, Alaska",8
02090,"Fairbanks North Star Borough, Alaska",290
02100,"Haines Borough, Alaska",10
02105,"Hoonah-Angoon Census Area, Alaska",7
02110,"Juneau City and Borough, Alaska",144
02122,"Kenai Peninsula Borough, Alaska",226
02130,"Ketchikan Gateway Borough, Alaska",36
02150,"Kodiak Island Borough, Alaska",39
02170,"Matanuska-Susitna Borough, Alaska",267
02180,"Nome Census Area, Alaska",27
02185,"North Slope Borough, Alaska",9
02188,"Northwest Arctic Borough, Alaska",4
02195,"Petersburg Census Area, Alaska",11
02198,"Prince of Wales-Hyder Census Area, Alaska",10
02220,"Sitka City and Borough, Alaska",25
02230,"Skagway Municipality, Alaska",4
02240,"Southeast Fairbanks Census Area, Alaska",11
02261,"Valdez-Cordova Census Area, Alaska",24
02270,"Wade Hampton Census Area, Alaska",19
02275,"Wrangell City and Borough, Alaska",7
02282,"Yakutat City and Borough, Alaska",3
02290,"Yukon-Koyukuk Census Area, Alaska",10
04001,"Apache County, Arizona",64
04003,"Cochise County, Arizona",273
04005,"Coconino County, Arizona",381
04007,"Gila County, Arizona",133
04009,"Graham County, Arizona",78
04011,"Greenlee County, Arizona",7
04012,"La Paz County, Arizona",21
04013,"Maricopa County, Arizona",10811
04015,"Mohave County, Arizona",478
04017,"Navajo County, Arizona",241
04019,"Pima County, Arizona",2777
04021,"Pinal County, Arizona",420
04023,"Santa Cruz County, Arizona",70
04025,"Yavapai County, Arizona",759
04027,"Yuma County, Arizona",359
05001,"Arkansas County, Arkansas",46
05003,"Ashley County, Arkansas",46
05005,"Baxter County, Arkansas",170
05007,"Benton County, Arkansas",472
05009,"Boone County, Arkansas",126
05011,"Bradley County, Arkansas",25
05013,"Calhoun County, Arkansas",4
05015,"Carroll County, Arkansas",50
05017,"Chicot County, Arkansas",36
05019,"Clark County, Arkansas",59
05021,"Clay County, Arkansas",33
05023,"Cleburne County, Arkansas",45
05025,"Cleveland County, Arkansas",6
05027,"Columbia County, Arkansas",77
05029,"Conway County, Arkansas",46
05031,"Craighead County, Arkansas",359
05033,"Crawford County, Arkansas",97
05035,"Crittenden County, Arkansas",117
05037,"Cross County, Arkansas",46
05039,"Dallas County, Arkansas",24
05041,"Desha County, Arkansas",28
05043,"Drew County, Arkansas",46
05045,"Faulkner County, Arkansas",291
05047,"Franklin County, Arkansas",32
05049,"Fulton County, Arkansas",29
05051,"Garland County, Arkansas",319
05053,"Grant County, Arkansas",22
05055,"Greene County, Arkansas",96
05057,"Hempstead County, Arkansas",51
05059,"Hot Spring County, Arkansas",46
05061,"Howard County, Arkansas",33
05063,"Independence County, Arkansas",98
05065,"Izard County, Arkansas",28
05067,"Jackson County, Arkansas",52
05069,"Jefferson County, Arkansas",215
05071,"Johnson County, Arkansas",40
05073,"Lafayette County, Arkansas",9
05075,"Lawrence County, Arkansas",32
05077,"Lee County, Arkansas",17
05079,"Lincoln County, Arkansas",16
05081,"Little River County, Arkansas",14
05083,"Logan County, Arkansas",43
05085,"Lonoke County, Arkansas",98
05087,"Madison County, Arkansas",18
05089,"Marion County, Arkansas",18
05091,"Miller County, Arkansas",67
05093,"Mississippi County, Arkansas",125
05095,"Monroe County, Arkansas",20
05097,"Montgomery County, Arkansas",11
05099,"Nevada County, Arkansas",15
05101,"Newton County, Arkansas",13
05103,"Ouachita County, Arkansas",62
05105,"Perry County, Arkansas",13
05107,"Phillips County, Arkansas",64
05109,"Pike County, Arkansas",13
05111,"Poinsett County, Arkansas",46
05113,"Polk County, Arkansas",46
05115,"Pope County, Arkansas",165
05117,"Prairie County, Arkansas",11
05119,"Pulaski County, Arkansas",1446
05121,"Randolph County, Arkansas",46
05123,"St. Francis County, Arkansas",58
05125,"Saline County, Arkansas",197
05127,"Scott County, Arkansas",16
05129,"Searcy County, Arkansas",14
05131,"Sebastian County, Arkansas",410
05133,"Sevier County, Arkansas",31
05135,"Sharp County, Arkansas",46
05137,"Stone County, Arkansas",23
05139,"Union County, Arkansas",127
05141,"Van Buren County, Arkansas",36
05143,"Washington County, Arkansas",568
05145,"White County, Arkansas",164
05147,"Woodruff County, Arkansas",15
05149,"Yell County, Arkansas",42
06001,"Alameda County, California",4273
06003,"Alpine County, California",4
06005,"Amador County, California",99
06007,"Butte County, California",716
06009,"Calaveras County, California",97
06011,"Colusa County, California",28
06013,"Contra Costa County, California",2877
06015,"Del Norte County, California",68
06017,"El Dorado County, California",461
06019,"Fresno County, California",2204
06021,"Glenn County, California",42
06023,"Humboldt County, California",442
