"UIC_2013","Description"
1,"Large-in a metro area with at least 1 million residents or more                                     "
2,"Small-in a metro area with fewer than 1 million residents                                           "
3,"Micropolitan adjacent to a large metro area                                                         "
4,"Noncore adjacent to a large metro area                                                              "
5,"Micropolitan adjacent to a small metro area                                                         "
6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
7,"Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents           "
8,"Micropolitan not adjacent to a metro area                                                           "
9,"Noncore adjacent to micro area and contains a town of 2,500-19,999 residents                        "
10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents              "
11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
12,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  "
