"FIPS","County","State","Poverty_Sub125","SNAP_Recipients","SNAP_ParticipationRatio","Population"
"10001","Kent County","Delaware",23802.324,"30680",1.28894976809827,"162912"
"10003","New Castle County","Delaware",69634.485,"66954",0.961506357087297,"538986"
"10005","Sussex County","Delaware",28704.942,"32392",1.1284468019479,"197871"
"11001","District of Columbia","District of Columbia",120741.489,"131366",1.0879938709386,"604453"
"12001","Alachua County","Florida",64090.6,"34224",0.533994064652227,"247497"
"12005","Bay County","Florida",27119.736,"30200",1.11358016169479,"169272"
"12009","Brevard County","Florida",77716.384,"66860",0.860307654046282,"543573"
"12011","Broward County","Florida",288556.8,"222403",0.770742536651363,"1753,578"
"12015","Charlotte County","Florida",22113.453,"19165",0.866667001304591,"159990"
"12017","Citrus County","Florida",26393.526,"21597",0.818268843655069,"141129"
"12019","Clay County","Florida",22115.4,"21349",0.965345415411885,"191395"
"12021","Collier County","Florida",50278.72,"36248",0.720941185455795,"322472"
"12023","Columbia County","Florida",14583.723,"14337",0.983082303469423,"67597"
"12027","DeSoto County","Florida",10768.887,"6987",0.648813568198831,"34984"
"12031","Duval County","Florida",155746.542,"162384",1.04261704892299,"865876"
"12033","Escambia County","Florida",60660.16,"58319",0.961405311163043,"298043"
"12035","Flagler County","Florida",15022.755,"12588",0.837928861916473,"95928"
"12039","Gadsden County","Florida",15077.149,"12524",0.830661022186622,"46449"
"12049","Hardee County","Florida",9127.405,"6506",0.7127984350426,"27801"
"12051","Hendry County","Florida",13063.645,"9737",0.74535093383202,"39180"
"12053","Hernando County","Florida",27976.675,"29213",1.04419127719788,"173008"
"12055","Highlands County","Florida",21535.345,"16533",0.767714656997601,"98700"
"12057","Hillsborough County","Florida",222033.264,"230784",1.03941182434718,"1233,846"
"12061","Indian River County","Florida",24334.545,"17480",0.718320395963845,"138268"
"12063","Jackson County","Florida",10202.472,"8343",0.817742994050854,"49701"
"12069","Lake County","Florida",44140.806,"42868",0.971164867265904,"297950"
"12071","Lee County","Florida",97498.939,"89335",0.916266381114158,"620151"
"12073","Leon County","Florida",67498.012,"34177",0.506340838601291,"276058"
"12075","Levy County","Florida",10769.296,"8163",0.757988265899647,"40735"
"12081","Manatee County","Florida",54142.16,"45478",0.83997387618078,"323435"
