FIPS,Min_Wage_2010
1001,7.25
1003,7.25
1005,7.25
1007,7.25
1009,7.25
1011,7.25
1013,7.25
1015,7.25
1017,7.25
1019,7.25
1021,7.25
1023,7.25
1025,7.25
1027,7.25
1029,7.25
1031,7.25
1033,7.25
1035,7.25
1037,7.25
1039,7.25
1041,7.25
1043,7.25
1045,7.25
1047,7.25
1049,7.25
1051,7.25
1053,7.25
1055,7.25
1057,7.25
1059,7.25
1061,7.25
1063,7.25
1065,7.25
1067,7.25
1069,7.25
1071,7.25
1073,7.25
1075,7.25
1077,7.25
1079,7.25
1081,7.25
1083,7.25
1085,7.25
1087,7.25
1089,7.25
1091,7.25
1093,7.25
1095,7.25
1097,7.25
1099,7.25
1101,7.25
1103,7.25
1105,7.25
1107,7.25
1109,7.25
1111,7.25
1113,7.25
1115,7.25
1117,7.25
1119,7.25
1121,7.25
1123,7.25
1125,7.25
1127,7.25
1129,7.25
1131,7.25
1133,7.25
2010,7.75
2013,7.75
2016,7.75
2020,7.75
2050,7.75
2060,7.75
2068,7.75
2070,7.75
2090,7.75
2100,7.75
2105,7.75
2110,7.75
2122,7.75
2130,7.75
2150,7.75
2164,7.75
2170,7.75
2180,7.75
2185,7.75
2188,7.75
2195,7.75
2198,7.75
2201,7.75
2220,7.75
2230,7.75
2231,7.75
2232,7.75
2240,7.75
2261,7.75
2270,7.75
2275,7.75
2280,7.75
2282,7.75
2290,7.75
2901,7.75
2903,7.75
2904,7.75
2905,7.75
2907,7.75
2908,7.75
2910,7.75
2912,7.75
2916,7.75
2919,7.75
2920,7.75
2921,7.75
2922,7.75
2923,7.75
2924,7.75
2925,7.75
2926,7.75
2928,7.75
2929,7.75
4001,7.25
4003,7.25
4005,7.25
4007,7.25
4009,7.25
4011,7.25
4012,7.25
4013,7.25
4015,7.25
4017,7.25
4019,7.25
4021,7.25
4023,7.25
4025,7.25
4027,7.25
5001,7.25
5003,7.25
5005,7.25
5007,7.25
5009,7.25
5011,7.25
5013,7.25
5015,7.25
5017,7.25
5019,7.25
5021,7.25
5023,7.25
5025,7.25
5027,7.25
5029,7.25
5031,7.25
5033,7.25
5035,7.25
5037,7.25
5039,7.25
5041,7.25
5043,7.25
5045,7.25
5047,7.25
5049,7.25
5051,7.25
5053,7.25
5055,7.25
5057,7.25
5059,7.25
5061,7.25
5063,7.25
5065,7.25
5067,7.25
5069,7.25
5071,7.25
5073,7.25
5075,7.25
5077,7.25
5079,7.25
5081,7.25
5083,7.25
5085,7.25
5087,7.25
5089,7.25
5091,7.25
5093,7.25
5095,7.25
5097,7.25
5099,7.25
5101,7.25
5103,7.25
5105,7.25
5107,7.25
5109,7.25
5111,7.25
5113,7.25
5115,7.25
5117,7.25
5119,7.25
5121,7.25
5123,7.25
5125,7.25
5127,7.25
5129,7.25
5131,7.25
5133,7.25
5135,7.25
5137,7.25
5139,7.25
5141,7.25
5143,7.25
5145,7.25
5147,7.25
5149,7.25
6001,9
6003,8
6005,8
6007,8
6009,8
6011,8
6013,8
6015,8
6017,8
6019,8
6021,8
6023,8
6025,8
6027,8
6029,8
6031,8
6033,8
6035,8
6037,8
6039,8
6041,8
6043,8
6045,8
6047,8
6049,8
6051,8
6053,8
6055,8
6057,8
6059,8
6061,8
6063,8
6065,8
6067,8
6069,8
6071,8
6073,8
6075,9.79
6077,8
6079,8
6081,8
6083,8
6085,8
6087,8
6089,8
6091,8
6093,8
6095,8
6097,8
6099,8
6101,8
6103,8
6105,8
6107,8
6109,8
6111,8
6113,8
6115,8
8001,7.24
8003,7.24
8005,7.24
8007,7.24
8009,7.24
8011,7.24
8013,7.24
8014,7.24
8015,7.24
8017,7.24
8019,7.24
8021,7.24
8023,7.24
8025,7.24
8027,7.24
8029,7.24
8031,7.24
8033,7.24
8035,7.24
8037,7.24
8039,7.24
8041,7.24
8043,7.24
8045,7.24
8047,7.24
8049,7.24
8051,7.24
8053,7.24
8055,7.24
8057,7.24
8059,7.24
8061,7.24
8063,7.24
8065,7.24
8067,7.24
8069,7.24
8071,7.24
8073,7.24
8075,7.24
8077,7.24
8079,7.24
8081,7.24
8083,7.24
8085,7.24
8087,7.24
8089,7.24
8091,7.24
8093,7.24
8095,7.24
8097,7.24
8099,7.24
8101,7.24
8103,7.24
8105,7.24
8107,7.24
8109,7.24
8111,7.24
8113,7.24
8115,7.24
8117,7.24
8119,7.24
8121,7.24
8123,7.24
8125,7.24
9001,8.25
9003,8.25
9005,8.25
9007,8.25
9009,8.25
9011,8.25
9013,8.25
9015,8.25
10001,7.25
10003,7.25
10005,7.25
11001,8.25
12001,7.25
12003,7.25
12005,7.25
12007,7.25
12009,7.25
12011,7.25
12013,7.25
12015,7.25
12017,7.25
12019,7.25
12021,7.25
12023,7.25
12025,7.25
12027,7.25
12029,7.25
12031,7.25
